Paper,Lat,Long,Study,Site,Pathway,Mean_rate,errorbar_values,error_reported,sample_size,Wetland_type_reported,Wetland_type,Inc_temp,Inc_length_days,Depth_cm,Depth_representative,Salinity_ppt,Salinity_cat,dom_veg,method,labeled_substrate,subpathway,Potential
Blazewicz et al 2012,18_18N,65_48S,1,1,Aerobic methane oxidation,0.533,0.083,SE,4,wet tropical forest,Swamp,25,80,0-15,7.5,NA,NA,Cyrilla racemiflora,"13C tracer, soil slurry",NA,NA,YES
Blazewicz et al 2012,64_48N,147_54W,1,2,Aerobic methane oxidation,1.255,0.058,SE,5,Fen,Fen,25,80,0-15,7.5,NA,low,NA,"13C tracer, soil slurry",NA,NA,YES
Smith et al 2018,41_22N, 82_30W,6,13,Aerobic methane oxidation,2.931566667,NA,NA,3,freshwater wetland,Marsh,22,14,0-5,2.5,NA,NA,Bare mudflat,soil slurry ,NA,NA,YES
Smith et al 2018,41_22N, 82_30W,6,13,Aerobic methane oxidation,2.185766667,NA,NA,3,freshwater wetland,Marsh,22,14,20-30,25,NA,NA,Bare mudflat,soil slurry ,NA,NA,YES
Smith et al 2018,41_22N, 82_30W,6,14,Aerobic methane oxidation,3.047766667,NA,NA,3,freshwater wetland,Marsh,22,14,0-5,2.5,NA,NA,Typha sp.,soil slurry ,NA,NA,YES
Megonigal & Schlesinger 2002,34_44.94N,77_6.77W,7,15,Aerobic methane oxidation,3.41,0.45,SE,5,tidal freshwater swamp,Swamp,22,3,0-5,2.5,NA,NA,Fraxinus caroliniana,shaken soil slurry ,NA,NA,YES
Megonigal & Schlesinger 2002,34_44.94N,77_6.77W,7,15,Aerobic methane oxidation,2.75,0.07,SE,5,tidal freshwater swamp,Swamp,22,3,10-May,7.5,NA,NA,Fraxinus caroliniana,shaken soil slurry ,NA,NA,YES
Megonigal & Schlesinger 2002,34_44.94N,77_6.77W,7,15,Aerobic methane oxidation,1.63,0.35,SE,5,tidal freshwater swamp,Swamp,22,3,20-Oct,15,NA,NA,Fraxinus caroliniana,shaken soil slurry ,NA,NA,YES
Megonigal & Schlesinger 2002,34_44.94N,77_6.77W,7,15,Aerobic methane oxidation,1.01,0.35,SE,5,tidal freshwater swamp,Swamp,22,3,20-30,25,NA,NA,Fraxinus caroliniana,shaken soil slurry ,NA,NA,YES
Megonigal & Schlesinger 2002,34_44.94N,77_6.77W,7,16,Aerobic methane oxidation,3.45,0.26,SE,5,tidal freshwater swamp,Swamp,22,3,0-5,2.5,NA,NA,Fraxinus caroliniana,shaken soil slurry ,NA,NA,YES
